,precursor_name,updated_precursor_name
1,CAR(10:0),CAR(10:0)
2,CAR(10:1),CAR(10:1)
3,CAR(10:1)-DC,CAR(10:1)-DC
4,CAR(10:2),CAR(10:2)
5,CAR(11:0),CAR(11:0)
6,CAR(12:0),CAR(12:0)
7,CAR(12:0)-OH,CAR(12:0)-OH
8,CAR(12:1),CAR(12:1)
9,CAR(12:2),CAR(12:2)
10,CAR(13:0),CAR(13:0)
11,CAR(14:0),CAR(14:0)
12,CAR(14:1),CAR(14:1)
13,CAR(14:2),CAR(14:2)
14,CAR(15:0),CAR(15:0)
15,CAR(16:0),CAR(16:0)
16,CAR(16:0)-OH,CAR(16:0)-OH
17,CAR(16:1),CAR(16:1)
18,CAR(16:3),CAR(16:3)
19,CAR(17:0),CAR(17:0)
20,CAR(18:0),CAR(18:0)
21,CAR(18:1),CAR(18:1)
22,CAR(18:2),CAR(18:2)
23,CAR(18:3),CAR(18:3)
24,CAR(19:0),CAR(19:0)
25,CAR(20:0),CAR(20:0)
26,CAR(20:1),CAR(20:1)
27,CAR(20:2),CAR(20:2)
28,CAR(20:4),CAR(20:4)
29,CAR(20:5),CAR(20:5)
30,CAR(22:0),CAR(22:0)
31,CAR(22:2),CAR(22:2)
32,CAR(22:4),CAR(22:4)
33,CAR(22:5),CAR(22:5)
34,CAR(22:6),CAR(22:6)
35,CAR(24:0),CAR(24:0)
36,CAR(24:1),CAR(24:1)
37,CAR(26:0),CAR(26:0)
38,CAR(26:1),CAR(26:1)
39,CAR(8:0),CAR(8:0)
40,CAR(8:1),CAR(8:1)
41,CAR(9:0),CAR(9:0)
42,SIL_CAR(10:0)-d9,SIL_CAR(10:0)-d9
43,SIL_CAR(12:0)-d9 ,SIL_CAR(12:0)-d9 
44,SIL_CAR(14:0)-d9,SIL_CAR(14:0)-d9
45,SIL_CAR(16:0)-d9,SIL_CAR(16:0)-d9
46,SIL_CAR(18:0)-d9 ,SIL_CAR(18:0)-d9 
47,SIL_CAR(18:1)-d9,SIL_CAR(18:1)-d9
48,SIL_CAR(18:2)-d9,SIL_CAR(18:2)-d9
49,SIL_CAR(24:0)-d4,SIL_CAR(24:0)-d4
50,SIL_CAR(8:0)-d9,SIL_CAR(8:0)-d9
51,CE(14:0),CE(14:0)
52,CE(15:0),CE(15:0)
53,CE(16:0),CE(16:0)
54,CE(16:1),CE(16:1)
55,CE(17:0),CE(17:0)
56,CE(17:1),CE(17:1)
57,CE(18:0),CE(18:0)
58,CE(18:1),CE(18:1)
59,CE(18:2),CE(18:2)
60,CE(18:3),CE(18:3)
61,CE(20:0),CE(20:0)
62,CE(20:1),CE(20:1)
63,CE(20:2),CE(20:2)
64,CE(20:3),CE(20:3)
65,CE(20:4),CE(20:4)
66,CE(20:5),CE(20:5)
67,CE(22:0),CE(22:0)
68,CE(22:1),CE(22:1)
69,CE(22:2),CE(22:2)
70,CE(22:4),CE(22:4)
71,CE(22:5),CE(22:5)
72,CE(22:6),CE(22:6)
73,CE(24:0),CE(24:0)
74,CE(24:1),CE(24:1)
75,CE(24:4),CE(24:4)
76,CE(24:5),CE(24:5)
77,CE(24:6),CE(24:6)
78,SIL_14:1 cholesteryl-d7 ester,SIL_CE(14:1)_d7
79,SIL_16:1 cholesteryl-d7 ester,SIL_CE(16:1)_d7
80,SIL_18:1 cholesteryl-d7 ester,SIL_CE(18:1)_d7
81,SIL_20:3 cholesteryl-d7 ester,SIL_CE(20:3)_d7
82,SIL_22:4 cholesteryl-d7 ester,SIL_CE(22:4)_d7
83,CER(14:0),Cer(d18:1/14:0)
84,CER(16:0),Cer(d18:1/16:0)
85,CER(18:0),Cer(d18:1/18:0)
86,CER(18:1),Cer(d18:1/18:1)
87,CER(20:0),Cer(d18:1/20:0)
88,CER(20:1),Cer(d18:1/20:1)
89,CER(22:0),Cer(d18:1/22:0)
90,CER(22:1),Cer(d18:1/22:1)
91,CER(24:0),Cer(d18:1/24:0)
92,CER(24:1),Cer(d18:1/24:1)
93,CER(26:0),Cer(d18:1/26:0)
94,CER(26:1),Cer(d18:1/26:1)
95,SIL_C15 Ceramide-d7 (d18:1-d7/15:0),SIL_Cer(d18:1-d7/15:0)_d7
96,SIL_C16:1 Ceramide-d7 (d18:1-d7/16:1),SIL_Cer(d18:1-d7/16:1)_d7
97,SIL_C18:1 Ceramide-d7 (d18:1-d7/18:1),SIL_Cer(d18:1-d7/18:1)_d7
98,SIL_C20:1 Ceramide-d7 (d18:1-d7/20:1),SIL_Cer(d18:1-d7/20:1)_d7
99,SIL_C22:1 Ceramide-d7 (d18:1-d7/22:1),SIL_Cer(d18:1-d7/22:1)_d7
100,SIL_C24:1 Ceramide-d7 (d18:1-d7/24:1),SIL_Cer(d18:1-d7/24:1)_d7
101,CL(16:0_16:0_16:0_16:0),CL(16:0_16:0_16:0_16:0)
102,CL(16:0_16:0_16:0_18:0),CL(16:0_16:0_16:0_18:0)
103,CL(16:0_16:0_16:0_18:1),CL(16:0_16:0_16:0_18:1)
104,CL(16:0_16:0_16:0_18:2),CL(16:0_16:0_16:0_18:2)
105,CL(16:0_16:0_16:0_20:0),CL(16:0_16:0_16:0_20:0)
106,CL(16:0_16:0_16:0_20:4),CL(16:0_16:0_16:0_20:4)
107,CL(16:0_16:0_18:0_18:0),CL(16:0_16:0_18:0_18:0)
108,CL(16:0_16:0_18:0_18:1),CL(16:0_16:0_18:0_18:1)
109,CL(16:0_16:0_18:0_18:2),CL(16:0_16:0_18:0_18:2)
110,CL(16:0_16:0_18:0_20:4),CL(16:0_16:0_18:0_20:4)
111,CL(16:0_16:0_18:1_18:1),CL(16:0_16:0_18:1_18:1)
112,CL(16:0_16:0_18:1_18:2),CL(16:0_16:0_18:1_18:2)
113,CL(16:0_16:0_18:1_20:0),CL(16:0_16:0_18:1_20:0)
114,CL(16:0_16:0_18:1_20:4),CL(16:0_16:0_18:1_20:4)
115,CL(16:0_16:0_18:2_18:2),CL(16:0_16:0_18:2_18:2)
116,CL(16:0_16:0_18:2_20:0),CL(16:0_16:0_18:2_20:0)
117,CL(16:0_16:0_18:2_20:4),CL(16:0_16:0_18:2_20:4)
118,CL(16:0_16:0_20:0_20:0),CL(16:0_16:0_20:0_20:0)
119,CL(16:0_16:0_20:0_20:4),CL(16:0_16:0_20:0_20:4)
120,CL(16:0_16:0_20:4_20:4),CL(16:0_16:0_20:4_20:4)
121,CL(16:0_18:0_18:0_18:0),CL(16:0_18:0_18:0_18:0)
122,CL(16:0_18:0_18:0_18:1),CL(16:0_18:0_18:0_18:1)
123,CL(16:0_18:0_18:0_18:2),CL(16:0_18:0_18:0_18:2)
124,CL(16:0_18:0_18:1_18:1),CL(16:0_18:0_18:1_18:1)
125,CL(16:0_18:0_18:1_18:2),CL(16:0_18:0_18:1_18:2)
126,CL(16:0_18:0_18:1_20:0),CL(16:0_18:0_18:1_20:0)
127,CL(16:0_18:0_18:1_20:4),CL(16:0_18:0_18:1_20:4)
128,CL(16:0_18:0_18:2_18:2),CL(16:0_18:0_18:2_18:2)
129,CL(16:0_18:0_18:2_20:0),CL(16:0_18:0_18:2_20:0)
130,CL(16:0_18:0_18:2_20:4),CL(16:0_18:0_18:2_20:4)
131,CL(16:0_18:0_20:0_20:0),CL(16:0_18:0_20:0_20:0)
132,CL(16:0_18:0_20:4_20:4),CL(16:0_18:0_20:4_20:4)
133,CL(16:0_18:1_18:1_18:1),CL(16:0_18:1_18:1_18:1)
134,CL(16:0_18:1_18:2_18:2),CL(16:0_18:1_18:2_18:2)
135,CL(16:0_18:1_18:2_20:0),CL(16:0_18:1_18:2_20:0)
136,CL(16:0_18:1_18:2_20:4),CL(16:0_18:1_18:2_20:4)
137,CL(16:0_18:1_20:0_20:0),CL(16:0_18:1_20:0_20:0)
138,CL(16:0_18:1_20:4_20:4),CL(16:0_18:1_20:4_20:4)
139,CL(16:0_18:2_18:2_18:2),CL(16:0_18:2_18:2_18:2)
140,CL(16:0_18:2_18:2_20:0),CL(16:0_18:2_18:2_20:0)
141,CL(16:0_18:2_20:0_20:0),CL(16:0_18:2_20:0_20:0)
142,CL(16:0_18:2_20:0_20:4),CL(16:0_18:2_20:0_20:4)
143,CL(16:0_18:2_20:4_20:4),CL(16:0_18:2_20:4_20:4)
144,CL(16:0_20:0_20:0_20:0),CL(16:0_20:0_20:0_20:0)
145,CL(16:0_20:0_20:0_20:4),CL(16:0_20:0_20:0_20:4)
146,CL(16:0_20:0_20:4_20:4),CL(16:0_20:0_20:4_20:4)
147,CL(16:0_20:4_20:4_20:4),CL(16:0_20:4_20:4_20:4)
148,CL(18:0_18:0_18:0_18:0),CL(18:0_18:0_18:0_18:0)
149,CL(18:0_18:0_18:0_18:1),CL(18:0_18:0_18:0_18:1)
150,CL(18:0_18:0_18:0_18:2),CL(18:0_18:0_18:0_18:2)
151,CL(18:0_18:0_18:1_18:1),CL(18:0_18:0_18:1_18:1)
152,CL(18:0_18:0_18:1_18:2),CL(18:0_18:0_18:1_18:2)
153,CL(18:0_18:0_18:2_18:2),CL(18:0_18:0_18:2_18:2)
154,CL(18:0_18:1_18:1_18:1),CL(18:0_18:1_18:1_18:1)
155,CL(18:0_18:1_18:2_18:2),CL(18:0_18:1_18:2_18:2)
156,CL(18:0_18:1_18:2_20:4),CL(18:0_18:1_18:2_20:4)
157,CL(18:0_18:1_20:0_20:0),CL(18:0_18:1_20:0_20:0)
158,CL(18:0_18:1_20:0_20:4),CL(18:0_18:1_20:0_20:4)
159,CL(18:0_18:1_20:4_20:4),CL(18:0_18:1_20:4_20:4)
160,CL(18:0_18:2_18:2_18:2),CL(18:0_18:2_18:2_18:2)
161,CL(18:0_18:2_18:2_20:0),CL(18:0_18:2_18:2_20:0)
162,CL(18:0_18:2_20:0_20:0),CL(18:0_18:2_20:0_20:0)
163,CL(18:0_18:2_20:0_20:4),CL(18:0_18:2_20:0_20:4)
164,CL(18:0_18:2_20:4_20:4),CL(18:0_18:2_20:4_20:4)
165,CL(18:0_20:0_20:0_20:0),CL(18:0_20:0_20:0_20:0)
166,CL(18:0_20:0_20:4_20:4),CL(18:0_20:0_20:4_20:4)
167,CL(18:0_20:4_20:4_20:4),CL(18:0_20:4_20:4_20:4)
168,CL(18:1_18:1_18:1_18:1),CL(18:1_18:1_18:1_18:1)
169,CL(18:1_18:1_18:1_20:0),CL(18:1_18:1_18:1_20:0)
170,CL(18:1_18:2_18:2_18:2),CL(18:1_18:2_18:2_18:2)
171,CL(18:1_18:2_18:2_20:0),CL(18:1_18:2_18:2_20:0)
172,CL(18:1_18:2_20:0_20:0),CL(18:1_18:2_20:0_20:0)
173,CL(18:1_18:2_20:0_20:4),CL(18:1_18:2_20:0_20:4)
174,CL(18:1_18:2_20:4_20:4),CL(18:1_18:2_20:4_20:4)
175,CL(18:1_20:0_20:0_20:0),CL(18:1_20:0_20:0_20:0)
176,CL(18:1_20:0_20:0_20:4),CL(18:1_20:0_20:0_20:4)
177,CL(18:1_20:0_20:4_20:4),CL(18:1_20:0_20:4_20:4)
178,CL(18:1_20:4_20:4_20:4),CL(18:1_20:4_20:4_20:4)
179,CL(18:2_18:2_18:2_18:2),CL(18:2_18:2_18:2_18:2)
180,CL(18:2_18:2_18:2_20:0),CL(18:2_18:2_18:2_20:0)
181,CL(18:2_18:2_20:0_20:0),CL(18:2_18:2_20:0_20:0)
182,CL(18:2_20:0_20:0_20:4),CL(18:2_20:0_20:0_20:4)
183,CL(18:2_20:0_20:4_20:4),CL(18:2_20:0_20:4_20:4)
184,CL(18:2_20:4_20:4_20:4),CL(18:2_20:4_20:4_20:4)
185,CL(20:0_20:0_20:0_20:0),CL(20:0_20:0_20:0_20:0)
186,CL(20:0_20:0_20:0_20:4),CL(20:0_20:0_20:0_20:4)
187,CL(20:0_20:0_20:4_20:4),CL(20:0_20:0_20:4_20:4)
188,CL(20:0_20:4_20:4_20:4),CL(20:0_20:4_20:4_20:4)
189,CL(20:4_20:4_20:4_20:4),CL(20:4_20:4_20:4_20:4)
190,SIL_CL(14:1_24:1_24:1_24:1),SIL_CL(14:1_24:1_24:1_24:1)
191,SIL_CL(15:0_15:0_15:0_16:1),SIL_CL(15:0_15:0_15:0_16:1)
192,DAG(14:0_14:0),DG(14:0_14:0)
193,DAG(14:0_15:0),DG(14:0_15:0)
194,DAG(14:0_16:0),DG(14:0_16:0)
195,DAG(14:0_16:1),DG(14:0_16:1)
196,DAG(14:0_17:0),DG(14:0_17:0)
197,DAG(14:0_18:0),DG(14:0_18:0)
198,DAG(14:0_18:1),DG(14:0_18:1)
199,DAG(14:0_18:2),DG(14:0_18:2)
200,DAG(14:0_18:3),DG(14:0_18:3)
201,DAG(14:0_19:0),DG(14:0_19:0)
202,DAG(14:0_20:0),DG(14:0_20:0)
203,DAG(14:0_20:2),DG(14:0_20:2)
204,DAG(14:0_20:3),DG(14:0_20:3)
205,DAG(14:0_20:4),DG(14:0_20:4)
206,DAG(14:0_20:5),DG(14:0_20:5)
207,DAG(14:0_22:4),DG(14:0_22:4)
208,DAG(14:0_22:5),DG(14:0_22:5)
209,DAG(14:0_22:6),DG(14:0_22:6)
210,DAG(15:0_15:0),DG(15:0_15:0)
211,DAG(15:0_16:0),DG(15:0_16:0)
212,DAG(15:0_16:1),DG(15:0_16:1)
213,DAG(15:0_17:0),DG(15:0_17:0)
214,DAG(15:0_18:0),DG(15:0_18:0)
215,DAG(15:0_18:1),DG(15:0_18:1)
216,DAG(15:0_18:2),DG(15:0_18:2)
217,DAG(15:0_18:3),DG(15:0_18:3)
218,DAG(15:0_19:0),DG(15:0_19:0)
219,DAG(15:0_20:0),DG(15:0_20:0)
220,DAG(15:0_20:1),DG(15:0_20:1)
221,DAG(15:0_20:2),DG(15:0_20:2)
222,DAG(15:0_20:3),DG(15:0_20:3)
223,DAG(15:0_20:4),DG(15:0_20:4)
224,DAG(15:0_20:5),DG(15:0_20:5)
225,DAG(15:0_22:4),DG(15:0_22:4)
226,DAG(15:0_22:5),DG(15:0_22:5)
227,DAG(15:0_22:6),DG(15:0_22:6)
228,DAG(16:0_16:0),DG(16:0_16:0)
229,DAG(16:0_16:1),DG(16:0_16:1)
230,DAG(16:0_17:0),DG(16:0_17:0)
231,DAG(16:0_18:0),DG(16:0_18:0)
232,DAG(16:0_18:1),DG(16:0_18:1)
